language,count
German,2
English,1463
Mandarin,9
French,24
Persian,2
Chinese,3
Russian,6
Hindi,11
Spanish,15
Telugu,1
Kannada,1
Hebrew,3
Polish,4
Swedish,2
Portuguese,3
Japanese,6
Italian,3
Norwegian,2
Bosnian,1
Cantonese,3
Slovenian,1
Urdu,1
Icelandic,2
Panjabi,1
Swahili,1
Indonesian,2
Arabic,2
Danish,1
Korean,1
Romanian,1
Tamil,1
